,Unnamed: 0,NAME,PRICE,CUISINE_CATEGORY,CITY,REGION,URL,CUSINE TYPE,TIMING,RATING_TYPE,RATING,VOTES,DAYS_OPEN,IMAGES
0,0,Hitchki,1200,Modern-Indian North-Indian Chinese Momos Biryani Continental American Fast-Food,Mumbai,Bandra,https://www.zomato.com/mumbai/hitchki-bandra-kurla-complex/info,Casual Dining,12noon to 130am,Excellent,4.9,3529,Mon-Sun,"https://b.zmtcdn.com/data/reviews_photos/72d/da3dd82992ed5b771dee8fd5d6fba72d_1548786542.jpg?output-format=webp&fit=around|771.75:416.25&crop=771.75:416.25;*,*"
1,1,Baba Falooda,400,Desserts Ice-Cream Beverages,Mumbai,Mahim,https://www.zomato.com/mumbai/baba-falooda-mahim/info,Dessert Parlor,2pm to 1am,Very Good,4.4,1723,Mon-Sun,"https://b.zmtcdn.com/data/pictures/chains/7/16508747/37c76eb70900b7b7589627e9846421ce.jpg?output-format=webp&fit=around|771.75:416.25&crop=771.75:416.25;*,*"
2,2,Chin Chin Chu,1800,Asian Chinese,Mumbai,Juhu,https://www.zomato.com/mumbai/chin-chin-chu-juhu/info,Casual Dining,12noon to 1am,Very Good,4.2,337,Mon-Sun,"https://b.zmtcdn.com/data/pictures/chains/2/18865932/b54f21adffb8c6042947fccf0051adff_featured_v2.jpg?output-format=webp&fit=around|771.75:416.25&crop=771.75:416.25;*,*"
3,3,Butterfly High,1000,Modern-Indian,Mumbai,Bandra,https://www.zomato.com/mumbai/butterfly-high-bandra-kurla-complex/info,Bar,12noon to 130am,Very Good,4.3,1200,Mon-Sun,"https://b.zmtcdn.com/data/pictures/chains/9/18707459/e55ade060b08f7f38d4d19cd2869a9c9.jpg?output-format=webp&fit=around|771.75:416.25&crop=771.75:416.25;*,*"
4,4,BKC  DIVE,1200,North-Indian Chinese Continental,Mumbai,Bandra,https://www.zomato.com/mumbai/bkc-dive-bandra-kurla-complex/info,Bar,1130am to 1am,Very Good,4.4,5995,Mon-Sun,"https://b.zmtcdn.com/data/pictures/9/18494129/02c6427c1705befc58561b319ed1dcbc.jpg?output-format=webp&fit=around|771.75:416.25&crop=771.75:416.25;*,*"
5,5,Flea Bazaar Café,800,American Asian Street-Food North-Indian Lucknowi Mexican Chinese Italian,Mumbai,Lower Parel,https://www.zomato.com/fleabazaarcafe/info,Café,12noon to 1am,Very Good,4.2,2042,Mon-Sun,"https://b.zmtcdn.com/data/pictures/chains/3/18669513/8ba570cabc781230a7f83227296d4ce4.jpg?output-format=webp&fit=around|771.75:416.25&crop=771.75:416.25;*,*"
6,6,Persian Darbar,1300,Biryani North-Indian Chinese Mughlai,Mumbai,Marol,https://www.zomato.com/mumbai/persian-darbar-marol/info,Casual Dining,10am to 3am,Excellent,4.5,3058,Mon-Sun,"https://b.zmtcdn.com/data/pictures/chains/5/32835/fdfa2849aa56ab20c452c997e1c515be.jpg?output-format=webp&fit=around|771.75:416.25&crop=771.75:416.25;*,*"
7,7,Tanatan,1500,Modern-Indian,Mumbai,Juhu,https://www.zomato.com/mumbai/tanatan-juhu/info,Casual Dining,12noon to 130am,Excellent,4.7,1842,Mon-Sun,"https://b.zmtcdn.com/data/pictures/6/18599546/f54d08fe15c2e07fb76eaa806e9fe7d5.jpeg?output-format=webp&fit=around|771.75:416.25&crop=771.75:416.25;*,*"
8,8,Cafe Safar,600,Chinese North-Indian Biryani,Mumbai,Andheri,https://www.zomato.com/mumbai/cafe-safar-oshiwara/info,Casual Dining,11am to 1am,Very Good,4.0,2797,Mon-Sun,"https://b.zmtcdn.com/data/pictures/2/34052/8623fedd47e08ad9d9b526d510958d9f.jpg?output-format=webp&fit=around|771.75:416.25&crop=771.75:416.25;*,*"
9,9,Plum by Bent Chair,1800,Asian,Mumbai,Lower Parel,https://www.zomato.com/mumbai/plum-by-bent-chair-lower-parel/info,Casual Dining,12noon to 1am,Excellent,4.7,1876,Mon-Sun,"https://b.zmtcdn.com/data/pictures/5/18617715/5a65d9cf9c23585ec6d44736df67d87a_featured_v2.jpg?output-format=webp&fit=around|771.75:416.25&crop=771.75:416.25;*,*"
10,10,Angrezi Dhaba,1500,North-Indian Chinese Thai European,Mumbai,Dadar,https://www.zomato.com/mumbai/angrezi-dhaba-1-dadar-west/info,Bar,12noon to 1am,Excellent,4.5,2092,Mon-Sun,"https://b.zmtcdn.com/data/pictures/5/18583325/2a97bc0e0159e7d679906d7164825365_featured_v2.jpg?output-format=webp&fit=around|771.75:416.25&crop=771.75:416.25;*,*"
11,11,Raasta,1200,Continental Seafood Fast-Food Desserts Italian Finger Food,Mumbai,Khar,https://www.zomato.com/mumbai/raasta-khar/info,Casual Dining,12noon to 1am,Very Good,4.0,3191,Mon-Sun,"https://b.zmtcdn.com/data/pictures/6/18354546/b4814936fc678e2f3f4972d920a83021.jpg?output-format=webp&fit=around|771.75:416.25&crop=771.75:416.25;*,*"
12,12,Todi Mill Social,1400,American North-Indian Chinese Fast-Food Continental Asian Beverages,Mumbai,Lower Parel,https://www.zomato.com/TodiMillSocial/info,Bar,9am to 1am,Excellent,4.6,5805,Mon 9am to 130am(Tue-Sun,"https://b.zmtcdn.com/data/pictures/chains/1/49261/348dfe37e84fba7f22131948a62d8519.jpg?output-format=webp&fit=around|771.75:416.25&crop=771.75:416.25;*,*"
