id,restaurant_id,name,cuisine
1,0,Hitchki,Modern-Indian
2,0,Hitchki,North-Indian
3,0,Hitchki,Chinese
4,0,Hitchki,Momos
5,0,Hitchki,Biryani
6,0,Hitchki,Continental
7,0,Hitchki,American
8,0,Hitchki,Fast-Food
9,1,Baba Falooda,Desserts
10,1,Baba Falooda,Ice-Cream
11,1,Baba Falooda,Beverages
12,2,Chin Chin Chu,Asian
13,2,Chin Chin Chu,Chinese
14,3,Butterfly High,Modern-Indian
15,4,BKC  DIVE,North-Indian
16,4,BKC  DIVE,Chinese
17,4,BKC  DIVE,Continental
18,5,Flea Bazaar Café,American
19,5,Flea Bazaar Café,Asian
20,5,Flea Bazaar Café,Street-Food
21,5,Flea Bazaar Café,North-Indian
22,5,Flea Bazaar Café,Lucknowi
23,5,Flea Bazaar Café,Mexican
24,5,Flea Bazaar Café,Chinese
25,5,Flea Bazaar Café,Italian
26,6,Persian Darbar,Biryani
27,6,Persian Darbar,North-Indian
28,6,Persian Darbar,Chinese
29,6,Persian Darbar,Mughlai
30,7,Tanatan,Modern-Indian
31,8,Cafe Safar,Chinese
32,8,Cafe Safar,North-Indian
33,8,Cafe Safar,Biryani
34,9,Plum by Bent Chair,Asian
35,10,Angrezi Dhaba,North-Indian
36,10,Angrezi Dhaba,Chinese
37,10,Angrezi Dhaba,Thai
38,10,Angrezi Dhaba,European
39,11,Raasta,Continental
40,11,Raasta,Seafood
41,11,Raasta,Fast-Food
42,11,Raasta,Desserts
43,11,Raasta,Italian
44,11,Raasta,Finger
45,11,Raasta,Food
46,12,Todi Mill Social,American
47,12,Todi Mill Social,North-Indian
48,12,Todi Mill Social,Chinese
49,12,Todi Mill Social,Fast-Food
50,12,Todi Mill Social,Continental
51,12,Todi Mill Social,Asian
52,12,Todi Mill Social,Beverages
53,13,Burn - Bar & Kitchen,Continental
54,13,Burn - Bar & Kitchen,Mexican
55,13,Burn - Bar & Kitchen,Italian
56,13,Burn - Bar & Kitchen,Chinese
57,14,145 Bandra,Mexican
58,14,145 Bandra,American
59,14,145 Bandra,Desserts
60,14,145 Bandra,European
61,14,145 Bandra,Modern-Indian
62,15,Cafe Zoe,European
63,15,Cafe Zoe,Italian
64,15,Cafe Zoe,Burger
65,15,Cafe Zoe,Salad
66,15,Cafe Zoe,Healthy
67,15,Cafe Zoe,Food
68,16,Ustaadi,Asian
69,16,Ustaadi,Biryani
70,16,Ustaadi,Chinese
71,16,Ustaadi,North-Indian
72,16,Ustaadi,Mughlai
73,16,Ustaadi,Middle
74,16,Ustaadi,Eastern
75,17,Cafe Maaz,Chinese
76,17,Cafe Maaz,North-Indian
77,17,Cafe Maaz,Mughlai
78,17,Cafe Maaz,Biryani
79,17,Cafe Maaz,Seafood
80,18,Carter's Blue,North-Indian
81,18,Carter's Blue,Lebanese
82,18,Carter's Blue,Fast-Food
83,18,Carter's Blue,Chinese
84,19,Rajasthan,North-Indian
85,19,Rajasthan,Mughlai
86,19,Rajasthan,Chinese
87,19,Rajasthan,Fast-Food
88,20,Harry's Bar + Cafe,Asian
89,20,Harry's Bar + Cafe,Mexican
90,20,Harry's Bar + Cafe,American
91,21,New Ajwa Family Restaurant,North-Indian
92,21,New Ajwa Family Restaurant,Chinese
93,21,New Ajwa Family Restaurant,Mughlai
94,21,New Ajwa Family Restaurant,Kebab
95,21,New Ajwa Family Restaurant,Desserts
96,22,Singh Saab,North-Indian
97,22,Singh Saab,Asian
98,23,Kasbah Grand,North-Indian
99,23,Kasbah Grand,Mughlai
100,23,Kasbah Grand,Chinese
101,23,Kasbah Grand,Thai
102,23,Kasbah Grand,Seafood
103,24,Elementaria Bakery Cafe,Cafe
104,24,Elementaria Bakery Cafe,Desserts
105,24,Elementaria Bakery Cafe,Sandwich
106,25,Angrezi Patiyalaa,North-Indian
107,25,Angrezi Patiyalaa,Finger
108,25,Angrezi Patiyalaa,Food
109,25,Angrezi Patiyalaa,American
110,25,Angrezi Patiyalaa,Mexican
111,25,Angrezi Patiyalaa,Chinese
112,26,Door No.1,Asian
113,26,Door No.1,Italian
114,26,Door No.1,North-Indian
115,26,Door No.1,Finger
116,26,Door No.1,Food
117,27,Natural Ice Cream,Desserts
118,27,Natural Ice Cream,Ice-Cream
119,28,Punjab Grill,North-Indian
120,28,Punjab Grill,Mughlai
121,28,Punjab Grill,Beverages
122,29,Locco Eatery & Bar,North-Indian
123,29,Locco Eatery & Bar,Continental
124,29,Locco Eatery & Bar,Lebanese
125,29,Locco Eatery & Bar,Italian
126,30,Breadkart,Fast-Food
127,31,The Lemon Grass,North-Indian
128,31,The Lemon Grass,Chinese
129,32,Chote Nawab,North-Indian
130,32,Chote Nawab,Chinese
131,33,Hari Om Sai,Beverages
132,33,Hari Om Sai,Fast-Food
133,34,Persian Hub Family Restaurant,Chinese
134,34,Persian Hub Family Restaurant,Mughlai
135,34,Persian Hub Family Restaurant,North-Indian
136,34,Persian Hub Family Restaurant,Iranian
137,35,Magdalena,Bakery
138,35,Magdalena,Desserts
139,36,United Food Nation,Fast-Food
140,36,United Food Nation,Burger
141,36,United Food Nation,American
142,36,United Food Nation,Beverages
143,37,Frisbees,Fast-Food
144,37,Frisbees,American
145,37,Frisbees,Burger
146,38,Bombay Vintage,North-Indian
147,38,Bombay Vintage,South-Indian
148,38,Bombay Vintage,Maharashtrian
149,39,Arya Bhavan,South-Indian
150,39,Arya Bhavan,Fast-Food
151,40,Chaubara 601,North-Indian
152,41,Queen Margherita's Pizzeria,Pizza
153,41,Queen Margherita's Pizzeria,Fast-Food
154,42,The Burger Brasserie,Cafe
155,42,The Burger Brasserie,Fast-Food
156,42,The Burger Brasserie,Burger
157,42,The Burger Brasserie,Beverages
158,43,Spice Republic,Cafe
159,43,Spice Republic,Continental
160,43,Spice Republic,Mediterranean
161,43,Spice Republic,Mexican
162,43,Spice Republic,Italian
163,43,Spice Republic,Chinese
164,43,Spice Republic,Modern-Indian
165,43,Spice Republic,Fast-Food
166,44,Fleur - The Fern Goregaon,Thai
167,44,Fleur - The Fern Goregaon,Continental
168,44,Fleur - The Fern Goregaon,North-Indian
169,45,Cat Café Studio,Cafe
170,45,Cat Café Studio,Beverages
171,46,Thotrin Cafe,North
172,46,Thotrin Cafe,Eastern
173,46,Thotrin Cafe,Chinese
174,47,Udipi Vihar,North-Indian
175,47,Udipi Vihar,Chinese
176,47,Udipi Vihar,South-Indian
177,47,Udipi Vihar,Fast-Food
178,48,B MAD - The Restaurant,North-Indian
179,48,B MAD - The Restaurant,Italian
180,48,B MAD - The Restaurant,Mexican
181,48,B MAD - The Restaurant,Lebanese
182,49,Landmark Restaurant Veg Diet,North-Indian
183,49,Landmark Restaurant Veg Diet,Chinese
184,49,Landmark Restaurant Veg Diet,South-Indian
185,49,Landmark Restaurant Veg Diet,Fast-Food
186,50,Matka Khichdi,North-Indian
187,51,Aavakay,Andhra
188,51,Aavakay,South-Indian
189,52,Little West Pizza,Pizza
190,53,Prashant Corner,Mithai
191,53,Prashant Corner,Street-Food
192,54,Viaan,North-Indian
193,54,Viaan,Chinese
194,55,Deepak,South-Indian
195,55,Deepak,North-Indian
196,55,Deepak,Chinese
197,55,Deepak,Fast-Food
198,55,Deepak,Desserts
199,55,Deepak,Beverages
200,55,Deepak,Mithai
201,56,Sarvodaya Pure Veg,Chinese
202,56,Sarvodaya Pure Veg,South-Indian
203,56,Sarvodaya Pure Veg,North-Indian
204,56,Sarvodaya Pure Veg,Street-Food
205,57,Street Gourmet,North-Indian
206,57,Street Gourmet,Chinese
207,57,Street Gourmet,Street-Food
208,58,Downtown China,Chinese
209,58,Downtown China,Thai
210,59,West Coast Grill,American
211,59,West Coast Grill,Italian
212,59,West Coast Grill,Burger
213,59,West Coast Grill,Mexican
214,60,Ray's Cafe & Pizzeria,Italian
215,60,Ray's Cafe & Pizzeria,Pizza
216,60,Ray's Cafe & Pizzeria,Fast-Food
217,60,Ray's Cafe & Pizzeria,Beverages
218,61,The Yellow Chilli,North-Indian
219,61,The Yellow Chilli,Mughlai
220,62,Wok Express,Chinese
221,62,Wok Express,Asian
222,62,Wok Express,Thai
223,62,Wok Express,Beverages
224,63,Kuai Kitchen,Chinese
225,63,Kuai Kitchen,Japanese
226,63,Kuai Kitchen,Thai
227,63,Kuai Kitchen,Asian
228,63,Kuai Kitchen,Sushi
229,64,Dale's Eden Cake Shop,Bakery
230,64,Dale's Eden Cake Shop,Desserts
231,65,La Folie Lab,Cafe
232,65,La Folie Lab,Healthy
233,65,La Folie Lab,Food
234,65,La Folie Lab,Desserts
235,65,La Folie Lab,Beverages
236,66,Kusum Rolls,North-Indian
237,66,Kusum Rolls,Rolls
238,67,Jimmy Boy,Parsi
239,67,Jimmy Boy,North-Indian
240,67,Jimmy Boy,Fast-Food
241,67,Jimmy Boy,Desserts
242,68,Ceremonial Kitchen & Co,Seafood
